User Content,Assistant Content
about 6:00 pm.,okay. how much for the bill?
not more than $80.,"alright, is there anything else?"
"no, nothing else.",okay. i found 2 sushi restaurants.
great. what are the names?,"the first is called mckinney japanese, it has 4.3 stars. local japanese chain serving sushi, small plates & hot entrees in a stylish space. the second is called arigato sushi, it has 4.1 stars. casual, modern destination for sushi, teriyaki dishes & noodle soup, plus sake & japanese beer. which one do you want?"
mckinney.,"okay, mckinney. here is the address 1530 j street #150."
great.,enjoy the sushi.
"thank you, bye.",goodbye.
"i would like to plan a dinner at gravenstein grill in sebastopol, california.","hi, how can i help you? that's an excellent choice. how can i assist you with that?"
can you tell me if they're available for dinner on sunday?,"on sundays, they're open until 9:30 p.m."
can you tell me a little bit more about what the atmosphere's like?,it is a nice place for food and drinks. it also has friendly staff good wines and great food.
can you tell me about some of the salads on their menu?,"one moment. heirloom tomato gazpacho which is a mix of avocado, fennel pollen, olive oil, local organic sprouts. new england style clam chowder a mix of mirepoix, potato, smoked bacon, dill. newham gems caesar salad which is a mix of blue leg farms sebastopol organic newham gem lettuce, parmesan, boquerone & roasted garlic crostini."
can you tell me what the weather's going to be like in that area on sunday?,"on sunday, it will be mostly sunny with a high of 76 degrees fahrenheit."
thank you. that's it.,you're welcome. goodbye.
i'd like help in finding a restaurant.,hi. what city would you like me to check?
"chico, california, please.",is there anything in mind that you would like to eat?
i would like to go somewhere that's not too expensive but still has good food.,what is your price range?
"i want it where i'm not spending too much money for it, on the lower end.",so somewhere between $15 to $20 or less?
"yes, that works.",what star rating do you prefer?
"i'd prefer three stars and up, but i also want the place to have access to a bar. and i'm really feeling like eating some good pizza.",is there anything else you would like to add onto that?
i want to make sure that it's going to be open at around 10:00 at night because i like to eat dinner late.,i was not able to locate a restaurant that has a bar and serves pizza. would you like to change a request?
yes i'd like to change my roof.,what is your request?
i like to find a restaurant in austin texas with no price limit. and i like the one which feels cozy and serves french food the star rating can be two stars and up and i want to eat there for lunch.,"let me check that for you. i was able to locate a restaurant called blue dahlia bistro. this french restaurant offers light bites, tartines & big plates served in a casual interior or on the gardenlike back patio. they are rated 4.4 stars and is open until 9pm today. do you need anything else?"
no. thank you.,good bye.
yeah. i'm looking for a restaurant to eat at tonight.,"hello, how can i help you? i see that you're in austin, texas. is that where you would like me to find you a restaurant?"
"yes, please.",what kind of food are you in the mood for today?
i was thinking steaks. somewhere formal and with an upscale atmosphere.,okay got it. you want steak. tell me more about what else you're looking for in the restaurant so i can narrow your choices down?
it'd be nice if they had a nice wine list.,"okay, i'll find you an upscale steak house with a good wine list."
okay. thank you.,"one second, please. okay, you have several options there's sullivan's steakhouse. they have great cocktails a wireless and like music then you have fleming's prime, they have great cocktails and is a high-end steakhouse chain. finally you have a vince young steakhouse they also have great cocktails and wine list and is the famed austin, quarterbacks switch stylish eatery. sure, what name would you like me to put the reservation under?"
i'll go with the first option. bostik.,"bostik, got it. would you like me to send it directions to the map app on your phone?"
"yeah, that'd be great. thanks.","you're welcome, enjoy your meal."
i'm looking for a restaurant in seattle where i can take my mom for a buffet. how about west seattle?,hi. is there any particular region in seattle that you prefer?
west seattle.,okay. what type of food are you looking for?
my mom loves chinese food.,"nice, how about pricing?"
money doesn't matter.,what time will you arrive at the restaurant? and around how much time will you need at the restaurant?
i will be there for about one and half hour.,"i have 2 options for you, the first is called lee's asian restaurant, unassuming pan-asian joint offering a varied menu that includes thai, vietnamese & chinese dishes. the second is called bang bar, thai classics get fusion twists in a relaxed lounge space decorated with traditional & modern art. those are the two options in west seattle."
lee's asian restaurant sounds good.,will that be all?
"yes, thank you very much for your help.",you're welcome and have a nice day and goodbye.
i'm looking for a good restaurant for dinner tonight. i was thinking about italian food.,"i see you are in la jolla, california. is that right?"
that's correct. i'm looking for a mid-range priced casual dining somewhere near the beach will be great.,how many restaurant star rating?
at least four.,"i found a spot for you. cafe milano, classics italian fare such as spaghetti bolognese & veal parmigiana is served in a warm setting."
okay. that sounds good.,this location is near the beach.
"that's perfect, could you book me reservations for tonight at around 7:30?",you got it.
thank you.,"thank you, enjoy your meal."
"hi, i was wondering if i can ask you some questions about seasons restaurant in davis, california.","yes, what would you like to know?"
when are they open for dinner on sunday?,"salads, pizzas, pastas and entrees."
what type of specials do they serve?,"on sunday, from 5 pm to 8 pm."
what's the atmosphere like? is it casual or formal?,casual to simple elegance.
what kind of salads do they have?,caesar and mixed baby lettuces and golden beet for salads.
what's the weather forecast going to be like this weekend?,just one moment. it will be partly cloudy around 61 fahrenheit on saturday and mostly sunny on sunday.
"okay, thank you.",you are welcome. bye.
i'm looking for a restaurant near the university of texas campus. where could i find a restaurant nearby?,"hello. how can i help you? okay, where are you right now?"
within 5 miles radius of texas campus.,what kind of food would you like?
i like probably the chinese food.,do you prefer indoor or outdoor seating?
indoor.,i have old thousand on east 11th street rating at 4.4 stars.
i'll go to the restaurant and i appreciate your help. thank you.,have a nice day. bye.
"i'd like help finding a restaurant to eat at in tracy, california.","how can i help you? okay, what type of food would you prefer?"
mexican food.,"okay, let me check into that for you. there are several options, do you have any other preferences in a mexican restaurant?"
"i would like to be able to order at the counter, and i'd also like a good atmosphere.",one second. hold on. here is a great option called casa grande mexican ordering is available at the counter and they have a great atmosphere.
okay. what's the address?,"one moment please. they are located at 30 w 11th st, tracy, ca 95376."
okay. thank you.,"you're welcome, enjoy your meal."
hello.,hi. how can i help you?
i'm looking for a sandwich shop.,"sure, let me check that for you. okay. i found five places. zoccoli's delicatessen, at 1534 pacific avenue. the sandwich spot, at 1010 pacific avenue. erik’s deli cafe, at 155 walnut avenue. togo’s sandwiches, at 902 ocean street. the picnic basket, at 125 beach street. what sounds good?"
tell me about the picnic basket.,sure. it's a counter-serve cafe near the santa cruz boardwalk offers locally sourced american eats & a patio.
tell me about the sandwich spot.,"regional chain known for original, cheekily named sandwiches plus a build your own option & salads."
"what was number three, again?",it's erik’s deli cafe.
what do they have?,"casual cafe chain serving gourmet deli sandwiches, housemade soups, salads & baked goods."
what kind of sandwiches do togo's have?,it's a counter-service chain offering made-to-order hot & cold sandwiches in straightforward surroundings.
and what did zackley's have?,can you repeat the question?
zoccoli's delicatessen.,"it has established italian deli featuring gourmet sandwiches, pastas & salads, plus outdoor seating."
how do i get there?,"the address is 1534 pacific ave, santa cruz, ca 95060."
thank you. i'll go there.,awesome choice. enjoy your sandwich.
"hi. i live in providence, rhode island and i would like to find an ice cream place.","okay, great. i can definitely locate an ice cream shop for you in providence, rhode island. hi, how can i help you? hold on just a second. i have a list of ben & jerry's with a 4.3 star, no udder with a 4.8, star hope creamery with a 4.4 and star cool licks creamery with a 4.5 star. any of those you want more information?"
i'd like a place that is kid-friendly and has a cozy feel to it.,okay. let me go ahead and find that for you. no udder is kid-friendly with a 4.8 star. a cozy atmosphere super cube plays with a variety of good vegan ice cream flavors.
that sounds perfect. thank you.,you're very welcome. would you like the address?
"i would, please.","it is located at 170 ives st, providence, ri 02906."
thanks again.,you're welcome. have a good day. goodbye.
"hi, i'm looking for a place to eat dessert tonight.","hi, how may i assist you? can you give me more information?"
"yes. i'm looking for a place that sells gelato ice cream. i'm in the denver, colorado area.",i found a spot for you. amore gelato.
where are they located?,"535 16th st, denver, co 80202. i'm sorry, i don't have that info."
"okay. what time they open till tomorrow? okay. can you send me the other info to my phone so i can store it, please? you are a big help. thank you so much.","okay, got it."
i would like to find italian food.,okay. where?
"in austin, texas.","sorry, could you say that again?"
"austin, texas.",okay. what did you say about pricing? what did you say about pricing?
under $30.,for how many people?
two.,okay. what time do you want to eat? what time do you want to eat?
8:00 p.m.,"okay. where in austin, texas? where in austin, texas?"
downtown.,okay. does it need to have high reviews?
yes.,how high?
four star.,"okay, alright. i have 2 restaurants for you. the first is called taverna. casual italian chainlet featuring pizzas, risottos & sidewalk seating. the second is called numero28. casual chain restaurant specializing in wood-fired, neapolitan pizza, plus classic italian dishes. which one do you want? which one do you want?"
numero28.,okay. it's located on 2nd street district.
okay.,any other questions?
no. bye.,goodbye.
"hi, i'm in arcata, california. and i was wondering if you could help me find somewhere to go eat tonight?","hi, you got it. what are you looking to quench your taste buds?"
i was thinking about american food.,"and let me verify, you are in la jolla, california. is that correct?"
"no. i'm in arcata, california.","that's right, excuse me, so american in arcata, california. you got a lot of different choices."
"okay. how about somewhere that's kid-friendly, and also has full bar?","kid-friendly and full bar, that sounds good dude. do you prefer a star rating over 4?"
"yes, please.","perfect, so looks like folie douce and toni's 24 hour restaurant is going to fit your bill."
okay. could you tell me more about second one?,toni's 24 hour restaurant is round-the-clock eatery for fast-food burgers and shakes with a thai food truck parked outside.
that sounds pretty good. could you get me the location for that one?,"here is tony's 24-hour restaurant address: 1901 heindon rd, arcata, ca 95521."
"okay, thank you.","enjoy your meal and have a great day, bye."
i'd like to find a restaurant.,okay. what else?
i'd like italian food.,okay. what else can you tell me?
"it should be in denver, colorado.",what else?
i'd like the downtown area.,okay.
i'd like a family style restaurant.,"sure, what else? what else?"
i'd like about a $20 meal.,"okay. okay, anything else?"
i'd like a place with desserts.,what kind of desserts?
"pie, please.",what?
pie.,"okay. okay, is that everything?"
yes.,how many stars?
"two stars or above, please.","okay. okay, and what time?"
"noon, please.",i found 2 italian restaurants for you to choose from. the first is called osteria marco. the first is called osteria marco.
what are they?,"it has 4.5 stars. it has 4.5 stars. handcrafted pizzas, cured meats & cheeses, plus other italian plates in a cozy basement setting. the second is called mici. it has 4.3 stars. low-key outpost with italian offerings like thin-crust pizza (available gluten-free) & gelato. which one do you want? the second is called mici. it has 4.3 stars. low-key outpost with italian offerings like thin-crust pizza (available gluten-free) & gelato. which one do you want?"
what are the specials at osteria marco?,they have a house special pasta.
"osteria marco, please. that´s all for now. thank you.","okay, osteria marco. is there anything else? goodbye. have a nice day."
hi.,hello. how about m & j bistro?
"i was looking for a cheap restaurant in tracy, california. preferably an american food place. can i get the location and phone number?","sure thing, the phone number for m & j bistro is (209) 832-2727."
okay. that'll be it. thank you.,"to let you know, they will be closing at 9 p.m."
"alright, thank you very much.",you got it.
"hi, i'm looking for a place to have dessert.",hi. do you have a specific type of dessert in mind and are you located near denver colorado?
"yes, i'm located near denver, colorado. i wanted something baked, like cake or cupcakes.",the d bar in denver has cake and cupcakes as well as rich pastries.
what is the atmosphere like there?,more than casual atmosphere.
"interesting, and where is it located in denver?",located at 494 east 19th avenue.
"okay, that sounds good. that's near me. i think that would be a good choice to go to.",perfect you're all set. do you have any other questions?
"no more questions, thank you for the help.",have a great night.
"hi. can you help me find an ice cream parlor in portland, oregon?","sure thing, any preferences?"
i'd like it to be kid friendly and have outdoor sitting place.,"okay, any other preferences? how about salt & straw?"
"no, that is all. sure, salt & straw it is.",will you like to know more?
"can you tell me more about it, yes.",small hip ice cream parlor featuring unique house made flavors like blue cheese and olive oil.
no. are there any other places?,"yes, moon ice cream."
can you tell me more about that?,coffee bar and parlor featuring traditional and unique ice cream flavors made in small batches.
that sounds better. is that one kid friendly.,yes.
"thank you. oh, can i have the address? oh, can i have the address?","sure thing. 1105 nw johnson st, portland, or 97209."
thank you,you're welcome.
hello. i'm looking for a place to eat.,hello. how may i help you? do you have any particular place?
"yes, i'm near the university of texas campus right now. i'm looking for chinese food. and i'm willing to travel within 5 miles, nothing farther than that.",would you like outdoor seating?
"yes, sure. that would be a big plus, but it's not that important. it should be kid friendly.",what about a bar?
"no, i'm going there with my kid.",okay. do you have anything else to say?
yeah. specials are must.,"okay, there are a handful of restaurants with different specials."
tell me the first one that you think is better.,"perfect, so the highest rated one is called shu shus asian cuisine."
how far is that?,2 miles away from the beach.
oh! that is perfect. tell me the address and the hours?,"sure, no problem. the address is 8303 burnet road 1 austin texas 78757 and the hours are from ""11 a.m."" to ""9 p.m.""."
perfect. can you email me the directions?,"yes, sure. the email had been sent."
thank you.,still is there anything else?
that'll be it for today. thank you.,you're welcome.
bye.,goodbye.
i'm looking for a place to have dinner tonight.,"okay, dinner in austin?"
yes.,alright. what can you tell me?
do you have any french restaurants?,yes. what else do you need?
something with a romantic setting.,okay. anything else?
something with a full wine selection.,okay. is that all?
and do you have any with valet parking?,sure thing. is that everything?
yeah.,"okay. i found 2 french restaurants for you to choose from. the first is called blue dahlia bistro. it has 4.5 stars. light bites, tartines & big plates served in a casual interior or on the garden like back patio. the second is called chez nous. it has 4.3 stars. traditional french fare along with a selection of wine & beer is served in a paris like setting. which one do you want?"
"you know, i think i've changed my mind. i think i'm going to try italian.",okay. italian food. what else can you tell me?
"the same preferences as before, please.",sure thing. how about pricing?
i would say under $75 per person.,okay. i found 2 italian restaurants for you to choose from.
great.,"the first is called carmelo's. it has 3.9 stars. old-world ambiance and traditional italian cuisine served up in a landmark downtown property. the second is called north italia. it has 4.2 stars. the domain's buzzy, modern option with a patio for thin-crust pizzas & sophisticated italian fare. which one do you want?"
i think the first one sounds good.,carmelo's?
yeah.,alright. here is the address 504 east 5th street.
great. thank you. goodbye.,enjoy your meal. goodbye.
"hello, i'm in sebastopol, california, looking for a place to eat dinner tonight, please.","hi, how can i help you? what kind of place are you looking for?"
"outdoor seating, relaxing, and table service, please. someplace that sells a very good burger and fries.","okay, i found a few places that match."
thank you.,hole in the wall or woodfour brewing company.
tell me about the first one.,small eatery with outdoor seating and gluten-free options with open kitchen cooking up californian comfort foods for meat eaters & vegetarians.
very nice. what's the address? i think i'm going to head to that one.,"it is located at 972 gravenstein hwy s, sebastopol, ca 95472."
"oh. very nice, appreciate it. i'm going to head over there. thank you, bye-bye.",enjoy your meal.
hi. i'm looking for a restaurant to eat dinner. can you help me?,sure.
i'd like to have a casual restaurant where i have table service. can you help me?,"sure, are you looking to eat anything in particular?"
cheeseburgers.,"alright, great. so it looks like for american restaurants there are a handful of great choices."
okay. name one.,"for an american cheeseburger you're going to want to go to birks restaurant. tucked away in an office park, this restaurant serves steaks & seafood in a classic bistro setting."
"thank you, i will go with that one. bye.",you are welcome and bye.
hi. i'd like to find a place for dinner tonight.,"hello, how can i help you? okay, great"
i'd like to stay pretty close to mallet chemistry library.,anything in particular?
how about pizza?,stay close to where? the mallet chemistry library?
yes.,"okay, one minute, please. okay, how does buffalo wild wings sounds?"
sounds great.,"alright okay, you are all set."
thank you.,you´re welcome. and have a great day.
thank you.,bye.
i'm hungry.,how can i help you? okay. what are you hungry for?
i'd like to find a slice of pizza.,okay.
how to find a slice of pizza?,where are you right now?
"i'm in downtown davis, california.",okay. would you like to stay there?
yes.,okay. how much per slice?
doesn't matter.,okay. is there a particular atmosphere you are looking for?
"oh, just casual.",okay. any other preferences?
no other preferences.,okay. give me one moment while i look this up.
thank you.,let me describe a couple of options you can choose from.
sure.,"the first is woodstock’s. it’s rated 4.1 stars on google. festive parlor with creative toppings, this lively, student-oriented pizza joint offers inventive gourmet pies, salads & sandwiches, whole and even pizza by the slice."
thank you.,the second is uncle vito’s. it’s rated 4.1 stars on google. this great variety of new york style by the slice pizza will have you thinking about the east coast. the crust is a specialty. it’s thin and a little crispy with just enough to hold up a slide. those are the two.
i like uncle vito's.,okay. any other questions?
no other questions.,"okay. great, thank you. goodbye."
"i'm looking for a restaurant in north carolina, near the american stadium.",could you repeat that please?
i'm looking for a restaurant in north carolina near the american stadium.,sure. anything else?
"yeah, i'm looking for organic food, and the atmosphere has to be casual.",one second.
"can i have the address for that one, please?","it is mikayla's cafe. address: 2209 tasman dr, santa clara, ca 95054."
"okay, thank you very much. have a great day.",is there anything else you need?
"no, that's fine. thank you.",goodbye. bye.
what should i do for dinner tonight?,"i can help with that. would you like to order in, go out or cook at home?"
go out.,where would you like to go out?
the olive garden.,would you like the nearest address to the olive garden?
yes.,what is your location?
"victorville, california.","the nearest one is located at 12330 amargosa rd, victorville, ca 92392."
great.,you're all set. enjoy your meal.
"i'm looking for a restaurant in la jolla, california.",okay. i can help with that. what kind of food do you prefer?
chinese.,okay.
i would like it to be a sit-down restaurant as well.,"alright, what time do you want to eat?"
8 o'clock.,"okay, so what else can you tell me?"
i'd like it to be near a mall.,alright and how much do you want to spend?
around $100.,okay. is there anything else?
"no, that's it.","alright. i found 2 restaurants for you to choose from. the first is called del mar rendezvous. it has 4.4 stars. relaxing setting with asian art where upscale chinese fare includes gluten-free & vegetarian items. the second is called chin's szechwan. it has 4.1 star. longtime eatery serving innovative szechuan & mandarin chinese specialties, with delivery. those are the two options. which one do you want?"
del mar.,"okay, del mar. here is the address: 1555 camino, del mar, #102."
thank you.,enjoy the chinese. goodbye.
i'd like help finding a restaurant in new orleans.,okay.
i would like it to be french cuisine.,"okay, and what else?"
i would also like it to be under $20 per person. i'd also like it to be rated 3.5 stars or up. also the place should serve alcohol.,anything else? okay alcohol. any more requirements?
i'd also like it to be open during lunchtime.,what time for lunch?
12:00 p.m.,okay. what else?
that was all my requirements.,"alright. i found 2 french restaurants for you to choose from, the first is called cafe degas which has romantic, intimate french bistro where a tree growing through the dining room adds to the ambiance with 4.2 stars and the second is called la crepe nanou which has crêpes & other classic french dishes in an intimate, mosaic-tiled bistro space with sidewalk seats with 4 stars. which one do you want?"
i'll choose the first option.,cafe degas?
yes.,okay. goodbye.
i'd like to find a restaurant in la jolla.,what type of food would you like to eat in la jolla?
chinese sounds good.,what are your preferences for the chinese restaurant?
it can be like a dive atmosphere.,what else?
i want it very cheap.,okay.
i'm going to be eating at supper time.,a place that's open late in the evening. okay.
"yeah, i'm going to be coming from the aquarium, so i want it near there.",i'll find somewhere nearby the aquarium.
"and also, it would be fine if it was ordering at the counter.","okay, any other preferences?"
"maybe some specials if there are any, that's it.",i will check the specials. is that all?
that's it.,"i will find your restaurant. just one moment. i found mandarin house. kitschy chinese joint for americanized fare, tropical cocktails & lunch specials."
cool. let's do it.,will that work for you?
sounds tasty.,"okay, great. any other questions?"
that's it. thanks a lot.,enjoy.
"hi, i would like help finding a place to eat sushi in boise, idaho.","hello, how can i help you? sure. any other preferences?"
i would like it to be kid friendly and have outside seating.,anything else?
that's all my preferences.,how about superb sushi downtown highest rated?
that sounds fine.,is there anything else i could help you with?
"that'll be all, thank you.","alright, you're welcome."
"hello there, i need help finding a restaurant in new orleans.","hi, how can i help you? i see that you are currently in new orleans, would you like me to find a restaurant there?"
yes. do you have soul food restaurants as a category? i hope you find restaurants.,"soul food is a great choice, do you have preferences that you want me to search for?"
i'd like a sit-down restaurant with entrees less than $25.,okay. less than $25 and a sit-down restaurant. anything else?
i prefer three stars or better.,i will find that for you. anything else?
"and it should be located near downtown, please.",okay.
alright.,i can find something with all those preferences.
great.,"let me see. this will just be a second. i found the praline connection. it's a plain & simple restaurant serving down home southern dishes & signature pralines for dessert. and willie mae's scotch house. it's lauded family owned spot since 1957, famous for fried chicken & other soul food in a humble setting. which one sounds good?"
"i'd like a sense of history and long time, so let's go to the second one, since 1957.",willie mae's scotch house?
that's right.,excellent. do you have any other questions for this restaurant?
do they take reservations and do you make reservations?,"i do not take reservations for the restaurant, but you can make a reservation with them by phone."
"alright, thank you.",here's is the phone number: (504) 822-9503.
okay. thank you. can you send me the directions?,you're welcome. okay. i will send it to you now.
thank you. bye.,you're welcome. goodbye.
i'm looking for a sandwich shop.,"i see that you're in austin, tx, is that where you want me to find your sandwich shop?"
"yeah, please.","okay, great. hold on. is there a particular atmosphere you're looking for?"
"i just want a quick bite to eat, so something like jimmy john's maybe.","okay, let me check that for you. this will just be a second. jimmy john's rated 4.2, located at 515 congress avenue number 120 in austin, texas open today 11 a.m to 10 p.m."
do you have any sit-down pizza restaurants?,"no worries, let me look that up for you. hold. one moment. i have a few choices for you."
okay.,"first choice penthouse pizza, it is a 4.6 star restaurant located in austin, texas. a quick bite great beer selection."
and what's the next one?,east side pies 4.2 stars.
and what do they have there?,"one second. hold. offbeat toppings, plus chicago-style & gluten-free pies, keep this pizza chain outpost hopping."
"oh, i like chicago style. let me get a reservation there tomorrow for 7:00 pm.","okay, let me book that for you. just one moment. hold. great, i've emailed you the reservation details."
thank you.,do you need the address?
"oh yeah, please.","1401 rosewood avenue austin, texas."
"alright, thank you so much.","you're welcome, have a good day."
you too.,goodbye.
"hello, what should i do for dinner tonight?","hello, i can help you with that. what are you in the mood for?"
italian food.,what is your location?
i am in north carolina.,"okay sure thing, some restaurants that have really good reviews for italian food in north carolina are, brio tuscan grille, roko italian cuisine and vivas."
which one is highest rated?,roku italian cuisine is going to have to be the highest rated one with 4.4 stars out of five and over 57 reviews.
"okay, i'll choose that place.","okay great, do you care for the address?"
yes.,"the address for roku italian cuisine is 6801 parker farm dr, wilmington, nc 28405."
"okay, thank you.","you're welcome, have a great day, bye."
"hi assistant, i'm in santa cruz, california and i'm looking for some place to get chinese food.","hello. you are in santa cruz, california and you are looking for chinese food. correct?"
yes.,"shun feng restaurant. dim sum, clay pot dishes, plus standard chinese options, served up in a warm & informal setting."
okay. is that near downtown? i'm looking for somewhere near downtown and kind of a cozy place.,"yes, this restaurant is near downtown."
"okay, and it sounds pretty cozy. any other choices or is that the best one? any other choices or is that the best one?","yes, please hold. golden palace restaurant. golden palace restaurant."
"okay, could you tell me a little about it?",basic chinese dishes from multiple regions presented in a relaxed eatery with traditional decor.
i think i'll go with the first one unless you have another choice.,"let me check. one moment. let me check. one moment. yan flower. casual, longtime locale with an old-world atmosphere & sizable chinese dishes to eat in or take out."
"i think that one sounds a little better, could you give me the address for that one?","this will just be a second. 617 pacific ave, santa cruz, ca 95060. 617 pacific ave, santa cruz, ca 95060."
"okay, thank you.",have a good day. bye.
"i would like help finding a restaurant in austin, texas.",okay.
"and, the price should be below $50.",for how many people?
for four people and three kids.,"okay. so, seven members, right?"
yes.,"okay, and what else?"
it should be kid friendly restaurant.,"okay, and what else?"
located near downtown.,alright.
that's it.,how about ratings?
it should have three star and uprating.,okay. i found 2 restaurants for you to choose from.
okay.,"the first is the tarka indian kitchen, it has 4.2 stars."
okay.,"local counter-serve chain dishing up indian curries, kebabs & more in a contemporary setting."
okay. that sounds great.,"the second is teji's. it has 3.8 stars. big selection of indian curries, naan & veggie options plus groceries in laid-back, no-frill digs."
"okay. that sounds great. yes. thank you so much. that is all for today, i will select one later and bye.",tarka? cool. bye.
"hi, i'm looking for a restaurant tonight, i'm located in sebastopol, california and i'm looking for a restaurant for tonight.","hi, how can i help you? sure what were you in the mood for?"
"i really want something that's casual and vegetarian dishes so, can you show me some vegetarian options?",what kind of cuisine?
vegetarian meals and i want the atmosphere to be casual.,vegetarian in what cuisine?
"oh, like regular american just make sure they have vegetarian stuff.","okay, i found a place just for you."
what is it? what is the place name?,how about hole in the wall?
what's the rating?,4.2 stars out of 5.
what kind of food do they serve?,small eatery with open kitchen cooking up californian comfort foods for meat eaters & vegetarians.
"okay, is it casual?","yes, it is casual."
"okay, i'll take that, please. send the directions to my email.","972 gravenstein hwy s, sebastopol, ca 95472."
"okay, thank you. bye",thank you. bye.
"okay. can i find dessert in portland, oregon?",i can definitely locate that for you.
"how can i find a list of the care plans under medicaid? i'd like to find desserts in portland, oregon.",i see that there is papa haydn with a 4.3 star they have 6 pastries with a 4.3 stars and i have ruby jewel with a 4.6 star. and i have tartberry with 4.6 stars. any you would like more information?
yes. do they have organic choices and outdoor seating?,let's find that out.
"what location are you at? what location are you at? yeah. okay. houston, texas. this is a quality call. and can i just have your last initial? all right. thank you.",i see that they are gluten-free not organic.
do they have outdoor seating?,"i showed that their listing just gluten free but not organic for the desert. yes, they do."
"okay. cool, i'll take that one. thank you.","your welcome, have a good day."
hello.,hi. how can i help you?
"yes, i'm looking for a place to eat thai food in santa cruz, california.","okay, sounds good. any preferences?"
"yes, i would like it to be kid-friendly and offer table service.",anything else?
"no, that's it.",okay. how about pacific thai santa cruz? would you like to know more?
yes.,"traditional food such as curries, noodles & other thai eats in an airy, light-filled setting."
"okay, great.",anything else?
"no, that'll do it. thank you.",thank you.
hello. i'd like some suggestions for dinner tonight.,"hi. how can i help you? would you like to order take-out, cook at home, or go out?"
"i think, go out.",what type of cuisine would you like to eat?
i think asian.,"okay. i have saucy asian, the house, and the spice jar. i have saucy asian, the house, and the spice jar."
which one is cheaper?,the spice jar.
okay. i think i'll go there.,okay. address has been sent to your email.
awesome. thank you. i think that's all i need today.,goodbye.
hello. i'm looking for a place to have dinner tonight.,"hello, how may i assist you? hello. sure i can help you."
italian.,"any preference? okay great, is that all?"
yes.,let me look. i found the restaurant called taverna.
"you know, i changed my mind. i think i'd rather have japanese food.","okay, sure. i found bonzai japanese steak and sushi restaurant."
japanese sushi restaurant. what is the address?,"river hills mall, 218 sidney baker st, kerrville, tx 78028."
great. do you have any japanese or sushi inside austin?,no.
"okay, that's fine. i'll take that one.",ok great. enjoy your meal.
thank you.,you're welcome. bye.
"hi. i was wondering if could ask you some questions about seasons restaurant in davis, california.","hi, how may i help you? sure. go ahead."
okay. when they will be opened on sundays for dinner ?,5 to 8 p.m.
okay. do they take any reservations?,yes.
okay. and what about appetizers? what kind of appetizers do they have on their menu?,"duck fritters, salmon sliders, crab cake."
okay. that sounds pretty good. is there any hotels nearby within the walking distance?,"yes, there is."
okay. thank you.,"your welcome, bye."
"yeah, i'm looking for a restaurant.",i see that you're in austin. is that where you want to dine?
yes. i'm looking for a casual mexican restaurant.,"okay, i can find you a mexican restaurant. what else are you looking for in your dining experience?"
i'd like a casual one with a full bar.,sure.
outdoor seating if possible.,do you have a price range in mind?
about medium.,"okay, how about ratings?"
four stars at least.,got it. anything more?
"no, i think that covers it.",just one moment. i found a good restaurant for you that meets all your needs. it's called la milpa. would you like to find out more about it?
"yes, please.","mexican standards in an enduring, family-owned establishment with a full bar & weekend mariachi."
"ok, that sound's good. could you book a table for two at 8:00 p.m. tonight? or just give me the location?","sure, it's actually walk in. let me get you the location."
"ok, thanks.","107 n milpitas blvd, austin, texas."
that sound's good.,they close at 9:00 pm.
okay. thanks.,you're welcome.
i'm hungry.,"hi, how can i help you? what are you hungry for?"
pizza.,"okay, are you looking for a pizza place?"
"yes, but not a chain like domino's.",okay and where about's?
"downtown, davis california.",okay and what else can you tell me about this pizza place?
i want to slice not a whole pizza.,"okay, what else?"
that's it.,"okay, let me describe a couple of options, you can choose from. sound good?"
yes.,"the first is wood stock’s, it’s rated 4.1 stars on google. festive parlor with creative toppings, this lively, student-oriented pizza joint offers inventive gourmet pies, salads & sandwiches, whole and even pizza by the slice."
that's it.,"the second is uncle vito’s, it’s rated 4.1 stars on google. this has a great variety of new york style, but the slice pizza will have you thinking about the east coast. the crust is a specialty. it’s thin and a little crispy with just enough to hold up a slide. which one do you want?"
the first.,okay. goodbye.
"hi, can you help me to find a place for dinner tonight?","hi, how can i help you? sure, what in particular are you looking for?"
i am looking for italian food.,"okay, great. is there a particular thing that is most important to you when searching for restaurants?"
i'm looking for an intimate setting.,okay.
and that should have live music.,"yeah, i got a place."
okay.,you have two different places to choose from.
okay.,one is paolo's italian kitchen and the next is al's luigi's italian restaurant.
does either of those have an outdoor seating?,"both are high rated, one is 4.3 stars and other is 4.0 stars and both of them have an outdoor seating."
great.,is there any other particular thing that is most important to you when searching for restaurants?
does either of them have gluten-free options?,yes.
which one?,both do.
okay. which one has a full bar?,both of them.
"okay, which one is closer to university of texas campus?",the second one.
"okay, i'll take that one.","okay, great. you are all set for al's luigi's italian restaurant."
"great, thank you.",you're welcome. have a great night.
thank you.,enjoy yourself.
hello.,hi.
can you please find me someplace to eat dessert in rhode island providence?,"sure, hold on one second. any particular preference on what you are looking for?"
i want it to be kid-friendly and have table service.,"okay, perfect. just a moment."
okay. that sounds great.,"i have found tropical smoothie cafe. it's a small neighborhood juice bar and cafe serves up: fresh made-to-order juices, whole fruit smoothies, fair trade coffee, baked goodies, house made soups, sandwiches, panini & seasonal salads. perfect."
thank you for your help.,you're welcome. have a good day.
